date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:35:09	5232/5232	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f5fee10-247b%22	http://findmatthew.com/robots.txt		(from )
19:35:10	23037/23037	---MCZ	200	added ('OK')	text/html	etag:W/%22603fdb87-59fd%22	http://findmatthew.com/	D:/Imdad/Portfolio/findmatthew.com/index.html	(from )
19:35:11	64666/64666	---MCZ	200	added ('OK')	text/css	etag:W/%22603fdb87-fc9a%22	http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	D:/Imdad/Portfolio/findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	(from http://findmatthew.com/)
19:35:12	25283/25283	---MCZ	200	added ('OK')	text/css	etag:W/%22603fdb87-62c3%22	http://findmatthew.com/style/style.css	D:/Imdad/Portfolio/findmatthew.com/style/style.css	(from http://findmatthew.com/)
19:35:12	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22603fdb87-47e%22	http://findmatthew.com/favicon.ico	D:/Imdad/Portfolio/findmatthew.com/favicon.ico	(from http://findmatthew.com/)
19:35:13	5876/5876	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03faa-16f4%22	https://cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	D:/Imdad/Portfolio/cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	(from http://findmatthew.com/)
19:35:13	85589/85589	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	D:/Imdad/Portfolio/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from http://findmatthew.com/)
19:35:14	29299/29299	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f24-7273%22	https://cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	D:/Imdad/Portfolio/cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	(from http://findmatthew.com/)
19:35:15	8833/8833	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-2281%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	D:/Imdad/Portfolio/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	(from http://findmatthew.com/)
19:35:16	89049/89049	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-15bd9%22	http://findmatthew.com/scripts/pt.min.js	D:/Imdad/Portfolio/findmatthew.com/scripts/pt.min.js	(from http://findmatthew.com/)
19:35:16	4597/4597	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-11f5%22	http://findmatthew.com/scripts/index.js	D:/Imdad/Portfolio/findmatthew.com/scripts/index.js	(from http://findmatthew.com/)
19:35:17	5877/5877	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-16f5%22	http://findmatthew.com/scripts/modal.js	D:/Imdad/Portfolio/findmatthew.com/scripts/modal.js	(from http://findmatthew.com/)
19:35:20	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f47ef34-247b%22	http://findmatthew.com/img/filler.jpg	D:/Imdad/Portfolio/findmatthew.com/img/filler.b.delayed	(from http://findmatthew.com/)
19:35:44	210416/210416	---M--	200	added ('OK')	image/png	etag:%22603fdb87-335f0%22	http://findmatthew.com/img/me.png	D:/Imdad/Portfolio/findmatthew.com/img/me.png	(from http://findmatthew.com/)
19:35:50	31069/31069	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-795d%22	http://findmatthew.com/img/thumb-4.jpg	D:/Imdad/Portfolio/findmatthew.com/img/thumb-4.jpg	(from http://findmatthew.com/)
19:35:58	43889/43889	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-ab71%22	http://findmatthew.com/img/thumb-5.jpg	D:/Imdad/Portfolio/findmatthew.com/img/thumb-5.jpg	(from http://findmatthew.com/)
19:36:03	23851/23851	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-5d2b%22	http://findmatthew.com/img/thumb-6.jpg	D:/Imdad/Portfolio/findmatthew.com/img/thumb-6.jpg	(from http://findmatthew.com/)
